table,##,[Custom,WaveView],saved,19:44:50,Tue,Jan,16,2024
TIME,x_ssad.v(b5),x_ssad.v(b4),x_ssad.v(b3),x_ssad.v(b2),x_ssad.v(b1),x_ssad.v(b0),,,
6.88E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,1.71E-03,1.71E-03,,,
6.93E-03,1.30E+00,2.55E-04,2.55E-04,2.55E-04,1.25E+00,1.30E+00,,,
6.98E-03,1.30E+00,2.55E-04,2.55E-04,1.25E+00,1.30E+00,2.55E-04,,,
7.03E-03,2.20E-04,1.30E+00,2.20E-04,1.30E+00,2.20E-04,1.30E+00,,,
7.08E-03,1.26E+00,1.31E+00,3.26E-05,3.26E-05,1.26E+00,1.31E+00,,,
7.13E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.29E+00,1.50E-03,,,
7.18E-03,1.26E+00,1.26E+00,1.26E+00,1.31E+00,3.75E-05,3.75E-05,,,
7.23E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
7.28E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
7.33E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
7.38E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.82E-06,,,
7.43E-03,2.96E-04,2.96E-04,2.96E-04,1.25E+00,1.25E+00,1.30E+00,,,
7.48E-03,1.26E+00,1.31E+00,3.27E-05,1.26E+00,1.31E+00,3.26E-05,,,
7.53E-03,6.15E-03,1.28E+00,6.15E-03,6.15E-03,6.15E-03,6.14E-03,,,
7.58E-03,1.31E+00,2.85E-05,1.31E+00,2.85E-05,1.27E+00,1.31E+00,,,
7.63E-03,3.75E-05,1.26E+00,1.26E+00,1.26E+00,1.31E+00,3.75E-05,,,
7.68E-03,3.27E-05,1.26E+00,1.26E+00,1.31E+00,3.27E-05,1.31E+00,,,
7.73E-03,1.30E+00,2.20E-04,1.30E+00,2.20E-04,1.30E+00,2.20E-04,,,
7.78E-03,1.50E-03,1.29E+00,1.50E-03,1.50E-03,1.50E-03,1.29E+00,,,
7.83E-03,1.26E+00,1.31E+00,3.27E-05,1.26E+00,1.31E+00,3.27E-05,,,
7.88E-03,2.96E-04,2.96E-04,2.96E-04,1.25E+00,1.25E+00,1.30E+00,,,
7.93E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
7.98E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
8.03E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.81E-06,,,
8.08E-03,6.15E-03,6.15E-03,6.15E-03,1.28E+00,6.15E-03,6.15E-03,,,
8.13E-03,1.26E+00,1.26E+00,1.26E+00,1.31E+00,3.76E-05,3.76E-05,,,
8.18E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.29E+00,1.50E-03,,,
8.23E-03,1.25E+00,1.30E+00,2.56E-04,2.56E-04,1.30E+00,2.56E-04,,,
8.28E-03,2.56E-04,1.30E+00,2.56E-04,1.25E+00,1.30E+00,2.56E-04,,,
8.33E-03,1.30E+00,2.21E-04,2.21E-04,1.30E+00,2.21E-04,1.30E+00,,,
8.38E-03,1.29E+00,1.50E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,,,
8.43E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,1.71E-03,1.71E-03,,,
8.48E-03,1.23E+00,1.29E+00,1.71E-03,1.71E-03,1.71E-03,1.71E-03,,,
8.53E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,1.71E-03,,,
8.58E-03,1.28E+00,1.28E+00,1.32E+00,8.90E-06,1.28E+00,1.32E+00,,,
8.63E-03,1.50E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.29E+00,,,
8.68E-03,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.81E-06,,,
8.73E-03,6.15E-03,6.15E-03,6.15E-03,6.15E-03,1.28E+00,6.15E-03,,,
8.78E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
8.83E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,,,
8.88E-03,1.25E+00,1.25E+00,1.30E+00,2.97E-04,2.97E-04,2.97E-04,,,
8.93E-03,2.97E-04,2.97E-04,1.25E+00,1.25E+00,1.30E+00,2.97E-04,,,
8.98E-03,1.31E+00,2.86E-05,1.27E+00,1.31E+00,2.86E-05,1.31E+00,,,
9.03E-03,2.56E-04,1.25E+00,1.30E+00,2.56E-04,1.30E+00,2.56E-04,,,
9.08E-03,1.29E+00,1.50E-03,1.50E-03,1.50E-03,1.50E-03,1.29E+00,,,
9.13E-03,1.29E+00,1.50E-03,1.29E+00,1.50E-03,1.50E-03,1.50E-03,,,
9.18E-03,2.56E-04,1.30E+00,2.56E-04,2.56E-04,1.25E+00,1.30E+00,,,
9.23E-03,1.25E+00,1.30E+00,2.56E-04,1.30E+00,2.56E-04,2.56E-04,,,
9.28E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.50E-03,1.29E+00,,,
9.33E-03,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.90E-06,1.32E+00,,,
9.38E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
9.43E-03,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
9.48E-03,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
9.53E-03,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.90E-06,1.32E+00,,,
9.58E-03,1.50E-03,1.50E-03,1.29E+00,1.50E-03,1.50E-03,1.29E+00,,,
9.63E-03,1.27E+00,1.31E+00,2.86E-05,1.31E+00,2.86E-05,1.31E+00,,,
9.68E-03,1.50E-03,1.29E+00,1.50E-03,1.50E-03,1.29E+00,1.50E-03,,,
9.73E-03,1.29E+00,1.50E-03,1.29E+00,1.50E-03,1.50E-03,1.50E-03,,,
9.78E-03,1.28E+00,6.15E-03,6.15E-03,6.15E-03,6.15E-03,6.15E-03,,,
9.83E-03,3.27E-05,1.26E+00,1.31E+00,3.27E-05,1.26E+00,1.31E+00,,,
9.88E-03,1.30E+00,2.56E-04,1.25E+00,1.30E+00,2.56E-04,2.56E-04,,,
9.93E-03,3.76E-05,3.76E-05,1.26E+00,1.26E+00,1.26E+00,1.31E+00,,,
9.98E-03,1.25E+00,1.25E+00,1.30E+00,2.97E-04,2.97E-04,2.97E-04,,,
1.00E-02,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,,,
1.01E-02,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
1.01E-02,1.71E-03,1.71E-03,1.71E-03,1.71E-03,1.23E+00,1.29E+00,,,
1.02E-02,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.80E-06,,,
1.02E-02,6.15E-03,6.15E-03,6.15E-03,1.28E+00,6.15E-03,6.15E-03,,,
1.03E-02,1.28E+00,1.28E+00,1.32E+00,8.90E-06,1.28E+00,1.32E+00,,,
1.03E-02,1.71E-03,1.71E-03,1.23E+00,1.29E+00,1.71E-03,1.71E-03,,,
1.04E-02,1.23E+00,1.29E+00,1.71E-03,1.71E-03,1.71E-03,1.71E-03,,,
1.04E-02,1.71E-03,1.23E+00,1.29E+00,1.71E-03,1.71E-03,1.71E-03,,,
1.05E-02,1.30E+00,2.56E-04,2.56E-04,2.56E-04,1.25E+00,1.30E+00,,,
1.05E-02,1.30E+00,2.21E-04,2.21E-04,1.30E+00,2.21E-04,1.30E+00,,,
1.06E-02,2.56E-04,1.30E+00,2.56E-04,1.25E+00,1.30E+00,2.56E-04,,,
1.06E-02,1.25E+00,1.30E+00,2.56E-04,2.56E-04,1.30E+00,2.56E-04,,,
1.07E-02,1.51E-03,1.51E-03,1.29E+00,1.51E-03,1.29E+00,1.51E-03,,,
1.07E-02,1.28E+00,1.28E+00,1.32E+00,8.90E-06,1.28E+00,1.32E+00,,,
1.08E-02,6.16E-03,6.16E-03,6.16E-03,1.28E+00,6.16E-03,6.16E-03,,,
1.08E-02,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
1.09E-02,6.16E-03,6.16E-03,6.16E-03,6.16E-03,1.28E+00,6.16E-03,,,
1.09E-02,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
1.10E-02,2.97E-04,2.97E-04,2.97E-04,1.25E+00,1.25E+00,1.30E+00,,,
1.10E-02,1.28E+00,1.32E+00,8.90E-06,1.28E+00,1.28E+00,1.32E+00,,,
1.11E-02,6.16E-03,1.28E+00,6.16E-03,6.16E-03,6.16E-03,6.16E-03,,,
1.11E-02,1.31E+00,2.86E-05,1.31E+00,2.86E-05,1.27E+00,1.31E+00,,,
1.12E-02,2.97E-04,1.25E+00,1.25E+00,1.30E+00,2.97E-04,2.97E-04,,,
1.12E-02,3.28E-05,1.26E+00,1.26E+00,1.31E+00,3.28E-05,1.31E+00,,,
1.13E-02,1.30E+00,2.21E-04,1.30E+00,2.21E-04,1.30E+00,2.21E-04,,,
1.13E-02,1.51E-03,1.29E+00,1.51E-03,1.51E-03,1.51E-03,1.29E+00,,,
1.14E-02,1.26E+00,1.31E+00,3.28E-05,1.26E+00,1.31E+00,3.27E-05,,,
1.14E-02,6.16E-03,6.16E-03,1.28E+00,6.16E-03,6.16E-03,6.16E-03,,,
1.15E-02,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.81E-06,,,
1.15E-02,1.72E-03,1.72E-03,1.72E-03,1.72E-03,1.23E+00,1.29E+00,,,
1.16E-02,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
1.16E-02,6.16E-03,6.16E-03,6.16E-03,1.28E+00,6.16E-03,6.16E-03,,,
1.17E-02,1.26E+00,1.26E+00,1.26E+00,1.31E+00,3.77E-05,3.77E-05,,,
1.17E-02,1.51E-03,1.51E-03,1.29E+00,1.51E-03,1.51E-03,1.29E+00,,,
1.18E-02,1.26E+00,1.31E+00,3.28E-05,3.28E-05,1.26E+00,1.31E+00,,,
1.18E-02,2.21E-04,1.30E+00,2.21E-04,1.30E+00,2.21E-04,1.30E+00,,,
1.19E-02,1.30E+00,2.57E-04,2.57E-04,1.25E+00,1.30E+00,2.57E-04,,,
1.19E-02,1.29E+00,1.51E-03,1.51E-03,1.51E-03,1.29E+00,1.51E-03,,,
1.20E-02,2.57E-04,1.25E+00,1.30E+00,2.57E-04,2.57E-04,1.30E+00,,,
1.20E-02,1.32E+00,8.90E-06,1.28E+00,1.28E+00,1.28E+00,1.32E+00,,,
1.21E-02,2.57E-04,2.57E-04,1.25E+00,1.30E+00,2.57E-04,1.30E+00,,,
1.21E-02,1.26E+00,1.26E+00,1.31E+00,3.28E-05,1.31E+00,3.29E-05,,,
1.22E-02,1.51E-03,1.51E-03,1.51E-03,1.29E+00,1.51E-03,1.29E+00,,,
1.22E-02,1.28E+00,1.28E+00,1.28E+00,1.28E+00,1.32E+00,8.79E-06,,,
1.23E-02,1.72E-03,1.72E-03,1.72E-03,1.72E-03,1.23E+00,1.29E+00,,,
1.23E-02,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.30E+00,1.33E+00,,,
1.24E-02,1.51E-03,1.51E-03,1.51E-03,1.29E+00,1.51E-03,1.29E+00,,,
1.24E-02,1.26E+00,1.26E+00,1.31E+00,3.29E-05,3.29E-05,1.31E+00,,,
1.25E-02,2.57E-04,2.57E-04,1.25E+00,1.30E+00,2.57E-04,1.30E+00,,,
1.25E-02,1.31E+00,3.29E-05,1.26E+00,1.26E+00,1.31E+00,3.28E-05,,,
1.26E-02,2.57E-04,1.25E+00,1.30E+00,2.57E-04,1.30E+00,2.57E-04,,,
1.26E-02,1.29E+00,1.51E-03,1.51E-03,1.51E-03,1.51E-03,1.29E+00,,,
1.27E-02,1.31E+00,3.29E-05,3.29E-05,1.26E+00,1.26E+00,1.31E+00,,,
1.27E-02,2.57E-04,1.30E+00,2.57E-04,2.57E-04,1.25E+00,1.30E+00,,,
1.28E-02,1.25E+00,1.30E+00,2.57E-04,1.30E+00,2.57E-04,2.57E-04,,,
1.28E-02,1.51E-03,1.51E-03,1.29E+00,1.51E-03,1.51E-03,1.29E+00,,,
1.29E-02,1.72E-03,1.23E+00,1.29E+00,1.72E-03,1.72E-03,1.72E-03,,,
